,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cause,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal
lessThan1,1,3,0,0,0,4,5,6,34,100,66,2,0,3,0,3,4,5,34,100,0,2,0,0,0,3,3,5,29,100,1,2,0,0,0,2,5,7,32,100,1,3,0,0,0,4,0,5,36,100,1,2,0,0,0,6,0,8,28,100,1,2,0,0,0,6,0,8,28,100,1,0,0,0,0,1,0,3,23,100,0,5,0,0,0,0,0,5,28,100,0,0,0,0,0,1,2,2,31,100,1,0,0,0,0,2,0,5,37,100,3,0,0,0,0,5,0,0,19,100,2,3,0,0,0,0,0,0,24,100,0,0,0,0,0,0,0,5,29,100,0,2,0,0,0,0,0,3,27,100,0,1,0,0,0,3,0,0,29,100,1,5,0,0,0,7,0,8,27,100,0,2,0,0,0,3,0,0,27,100,0,1,0,0,3,4,0,0,28,100,0,0,0,0,0,0,0,0,22,100
OneToFour,13,20,0,0,0,24,27,38,100,0,5,21,0,0,0,30,33,42,100,0,13,31,0,0,0,0,0,44,100,0,6,15,0,0,0,21,0,30,100,0,7,26,0,0,0,33,0,41,100,0,20,30,0,0,0,35,0,40,100,0,20,30,0,0,0,35,0,40,100,0,19,24,0,0,29,33,0,48,100,0,33,38,0,0,0,48,0,52,100,0,19,31,0,0,0,38,44,0,100,0,16,26,0,0,0,32,0,47,100,0,7,0,0,0,13,20,0,0,100,0,15,22,0,0,0,30,37,44,100,0,8,38,0,0,0,46,0,54,100,0,12,29,0,0,35,0,0,53,100,0,14,21,0,0,0,0,0,36,100,0,17,42,0,0,50,0,58,83,100,0,10,0,0,0,0,0,0,20,100,0,29,43,0,0,0,0,50,57,100,0,0,17,0,0,0,33,50,67,100,0
FiveToNine,14,24,0,0,0,0,0,33,100,0,14,23,0,0,0,27,32,45,100,0,35,45,0,0,0,0,0,58,100,0,20,33,0,0,40,0,0,53,100,0,26,42,0,0,0,0,47,53,100,0,22,44,0,0,0,0,0,56,100,0,22,44,0,0,0,0,0,56,100,0,30,0,0,0,0,40,50,0,100,0,25,42,0,0,0,0,0,67,100,0,7,27,0,0,0,33,0,53,100,0,13,25,0,0,0,0,38,63,100,0,33,42,0,0,50,0,58,67,100,0,50,0,0,0,0,60,70,80,100,0,33,42,0,0,0,0,0,0,100,0,33,44,0,0,0,0,0,0,100,0,25,42,0,0,0,50,0,67,100,0,25,0,0,0,0,0,38,50,100,0,63,88,0,0,0,0,0,100,0,0,80,0,0,0,0,100,0,0,0,0,11,0,0,0,44,0,56,0,100,0
TenToFourteen,25,36,0,0,0,43,46,61,100,0,11,16,0,0,0,21,0,32,100,0,11,22,0,0,28,0,33,56,100,0,20,40,0,0,47,0,0,53,100,0,24,29,0,0,0,41,47,65,100,0,7,13,0,0,0,27,40,53,100,0,7,13,0,0,0,27,40,53,100,0,14,21,0,0,0,36,0,50,100,0,36,43,0,0,0,0,57,71,100,0,27,53,0,0,0,0,0,80,100,0,22,33,0,0,0,0,44,56,100,0,18,36,0,0,0,0,0,45,100,0,29,36,0,0,0,0,43,64,100,0,29,43,0,0,0,0,0,0,100,0,38,0,0,0,0,0,0,0,100,0,30,60,0,0,0,0,0,70,100,0,19,0,0,0,0,25,38,63,100,0,11,0,0,0,0,0,0,22,100,0,23,38,0,0,46,54,0,69,100,0,33,42,0,0,0,0,58,67,100,0
FifteenToNineteen,11,17,0,18,20,22,37,63,100,0,12,20,22,0,0,27,34,51,100,0,12,16,0,0,17,21,40,59,100,0,15,27,0,0,0,0,46,58,100,0,17,0,0,0,21,25,44,67,100,0,15,19,0,0,22,26,37,56,100,0,15,19,0,0,22,26,37,56,100,0,12,0,0,0,0,15,40,65,100,0,26,31,0,0,34,37,51,66,100,0,9,0,11,0,13,14,36,61,100,0,10,17,0,0,0,21,38,59,100,0,6,12,0,0,15,21,38,56,100,0,10,12,0,0,0,21,50,76,100,0,29,0,0,0,0,0,50,71,100,0,16,19,21,0,23,30,44,63,100,0,20,0,24,0,0,28,40,56,100,0,17,22,0,0,24,27,49,71,100,0,20,27,0,0,0,33,53,73,100,0,9,12,0,0,15,0,44,71,100,0,15,0,0,0,0,0,31,46,100,0
TwentyToTwentyfour,5,9,0,11,0,18,41,60,100,0,18,27,29,0,32,36,48,55,100,0,6,9,10,0,12,16,38,60,100,0,8,10,0,13,18,21,51,59,100,0,13,14,15,16,16,21,47,64,100,0,35,38,0,0,40,53,65,73,100,0,35,38,0,0,40,53,65,73,100,0,9,10,0,0,11,13,41,75,100,0,21,26,0,0,28,31,44,62,100,0,9,11,12,15,16,20,43,71,100,0,17,21,0,0,23,31,44,63,100,0,16,23,0,0,0,26,39,61,100,0,5,8,11,0,12,22,43,77,100,0,4,15,19,0,22,30,41,59,100,0,12,0,13,15,0,0,40,68,100,0,9,13,16,0,19,0,31,56,100,0,5,6,8,0,0,16,48,73,100,0,14,24,0,0,29,38,48,71,100,0,15,17,19,0,20,26,48,72,100,0,26,0,30,0,0,0,43,57,100,0
TwentyfiveToTwentyNine,6,8,10,12,13,18,44,65,100,0,19,20,22,24,27,32,51,60,100,0,10,13,15,18,20,25,42,59,100,0,21,25,0,26,28,31,47,60,100,0,7,9,10,11,13,17,37,56,100,0,16,22,0,0,0,33,50,57,100,0,16,22,0,0,0,33,50,57,100,0,15,17,18,19,21,27,46,64,100,0,35,38,0,0,40,45,57,71,100,0,15,16,0,18,0,21,38,57,100,0,30,36,0,38,40,48,56,72,100,0,36,39,0,0,0,43,64,73,100,0,19,22,0,23,27,31,53,70,100,0,26,32,0,0,0,35,47,68,100,0,16,21,0,0,23,24,45,58,100,0,23,28,0,0,30,40,51,63,100,0,14,16,0,18,20,26,56,76,100,0,25,29,32,0,36,39,54,61,100,0,13,15,0,19,21,30,40,68,100,0,39,0,0,0,0,50,56,61,100,0
ThirtyToThirtyfour,10,14,16,19,20,27,40,52,100,0,20,21,22,25,27,37,49,56,100,0,8,11,12,18,19,25,38,52,100,0,22,25,26,29,33,38,46,56,100,0,12,15,17,20,0,26,44,57,100,0,34,43,44,0,47,53,62,68,100,0,34,43,44,0,47,53,62,68,100,0,10,15,16,16,18,24,42,58,100,0,27,30,31,32,35,39,49,61,100,0,16,19,20,22,25,30,46,64,100,0,36,0,0,38,48,56,67,75,100,0,37,41,42,46,48,54,68,75,100,0,15,16,0,20,22,27,47,64,100,0,43,0,0,0,0,50,52,57,100,0,21,22,0,25,27,28,49,59,100,0,37,39,40,0,44,46,56,67,100,0,19,22,0,26,27,36,55,67,100,0,30,35,40,0,44,56,67,74,100,0,12,20,0,0,0,29,57,65,100,0,47,51,53,0,56,60,74,84,100,0
ThirtyfiveToThirtynine,12,15,18,26,28,33,42,52,100,0,23,29,31,34,38,45,53,59,100,0,14,18,19,25,28,33,43,50,100,0,28,34,35,39,40,44,46,55,100,0,14,18,19,24,27,35,48,59,100,0,29,36,37,41,45,54,61,68,100,0,29,36,37,41,45,54,61,68,100,0,12,14,15,19,21,27,43,51,100,0,34,35,40,41,44,55,63,72,100,0,16,20,22,27,28,32,49,63,100,0,48,49,0,50,54,56,62,66,100,0,45,51,0,54,56,57,65,71,100,0,21,0,0,27,28,30,51,63,100,0,47,51,52,54,59,64,69,72,100,0,22,23,24,27,30,38,57,69,100,0,50,55,58,0,63,65,77,83,100,0,19,20,22,28,29,33,44,57,100,0,55,0,0,56,0,58,64,70,100,0,30,37,40,42,0,47,69,78,100,0,62,65,67,71,0,73,76,80,100,0
FourtyToFourtyfour,13,19,20,30,32,39,49,58,100,0,32,37,38,43,45,54,55,60,100,0,13,17,18,27,31,37,48,55,100,0,35,43,44,51,54,61,65,70,100,0,15,19,21,30,33,42,54,64,100,0,37,42,43,49,56,61,65,70,100,0,37,42,43,49,56,61,65,70,100,0,15,20,21,32,34,40,51,58,100,0,35,38,39,43,46,51,59,63,100,0,24,28,29,39,40,44,56,64,100,0,39,41,43,46,50,55,59,64,100,0,38,42,44,46,52,58,63,69,100,0,27,30,31,39,43,51,62,73,100,0,46,51,52,54,57,63,68,73,100,0,23,24,24,35,36,44,59,68,100,0,50,53,54,56,58,60,69,72,100,0,19,23,0,30,35,45,64,77,100,0,54,57,0,59,62,66,74,80,100,0,25,27,0,38,41,45,57,65,100,0,51,52,53,56,61,66,70,72,100,0
FourtyfiveToFourtynine,20,25,27,42,45,51,58,64,100,0,33,41,41,49,55,62,65,68,100,0,21,26,28,43,45,53,60,64,100,0,36,43,44,49,54,61,64,68,100,0,20,25,27,40,42,51,59,65,100,0,43,48,49,58,62,68,71,75,100,0,43,48,49,58,62,68,71,75,100,0,24,29,30,44,47,54,63,71,100,0,50,54,56,62,65,68,70,74,100,0,28,31,33,46,50,58,65,71,100,0,48,53,54,59,65,68,73,76,100,0,47,51,52,58,61,66,71,73,100,0,23,29,29,44,48,56,68,75,100,0,54,58,59,63,68,73,77,79,100,0,28,33,34,49,51,56,64,72,100,0,61,63,63,66,68,72,77,78,100,0,33,39,40,51,56,61,72,77,100,0,61,63,65,67,69,73,78,80,100,0,34,37,38,53,56,64,76,82,100,0,62,67,67,69,71,75,80,83,100,0
FiftyToFiftyfour,25,34,35,53,57,64,68,71,100,0,41,52,53,61,66,70,71,73,100,0,28,35,36,53,57,64,68,71,100,0,43,54,54,62,66,71,72,76,100,0,29,35,36,54,58,64,68,72,100,0,49,57,57,64,67,73,76,78,100,0,49,57,57,64,67,73,76,78,100,0,31,37,38,58,61,69,72,77,100,0,50,57,58,64,69,73,76,78,100,0,31,37,38,55,59,66,70,74,100,0,49,55,56,63,68,72,75,77,100,0,54,59,60,65,69,74,77,80,100,0,36,41,41,58,61,69,76,79,100,0,55,60,61,65,68,74,76,78,100,0,35,40,41,57,61,68,73,76,100,0,56,61,61,65,67,73,76,80,100,0,37,40,40,54,58,66,72,78,100,0,57,62,63,68,71,77,81,82,100,0,44,48,49,64,66,71,79,82,100,0,64,67,68,73,77,78,81,83,100,0
FiftyfiveToFiftyNine,32,42,44,61,65,71,73,77,100,0,43,56,57,67,72,77,78,79,100,0,37,44,45,63,67,73,76,78,100,0,49,58,59,68,71,76,76,79,100,0,34,42,43,63,67,74,76,78,100,0,48,56,57,65,70,74,76,77,100,0,48,56,57,65,70,74,76,77,100,0,41,48,49,64,68,75,77,80,100,0,52,61,61,69,72,77,79,79,100,0,39,44,45,65,69,75,78,82,100,0,53,61,62,67,72,77,78,80,100,0,56,62,63,70,74,78,80,82,100,0,42,47,49,66,70,76,80,83,100,0,57,62,62,67,71,76,77,80,100,0,42,48,49,65,70,77,80,83,100,0,58,64,64,70,75,79,80,82,100,0,47,51,52,68,71,76,80,84,100,0,65,71,71,74,78,82,83,85,100,0,47,52,52,67,71,78,82,85,100,0,64,67,68,71,76,80,81,85,100,0
SixtyToSixtyfour,36,49,50,69,73,79,81,83,100,0,44,60,61,73,77,83,83,84,100,0,38,49,50,69,72,78,80,82,100,0,46,62,63,72,77,82,83,85,100,0,39,52,53,71,76,83,84,86,100,0,47,60,61,69,73,80,81,82,100,0,47,60,61,69,73,80,81,82,100,0,42,53,54,72,76,82,84,86,100,0,51,62,63,71,76,80,81,82,100,0,45,53,54,71,74,81,82,84,100,0,53,63,64,70,74,79,80,81,100,0,56,65,65,72,75,81,82,83,100,0,46,53,54,71,74,81,83,86,100,0,54,62,63,70,73,79,80,81,100,0,47,55,56,71,75,81,82,84,100,0,58,65,65,71,74,80,81,83,100,0,50,57,58,73,76,81,83,85,100,0,62,69,69,73,77,81,82,84,100,0,54,58,59,71,75,80,84,86,100,0,62,68,68,72,75,80,81,84,100,0
SixtyfiveToSixtynine,38,52,53,71,77,83,84,85,100,0,42,60,61,70,75,81,81,83,100,0,40,55,56,73,77,83,84,86,100,0,46,61,62,73,77,83,83,84,100,0,43,56,57,74,78,85,85,87,100,0,47,60,61,71,75,82,82,83,100,0,47,60,61,71,75,82,82,83,100,0,43,55,55,72,76,82,83,85,100,0,48,63,63,71,76,82,82,83,100,0,46,56,57,73,77,84,84,86,100,0,50,63,64,71,75,81,81,83,100,0,53,65,65,72,77,83,84,85,100,0,50,59,60,76,80,86,87,88,100,0,54,64,65,72,76,81,82,84,100,0,50,58,59,74,79,85,86,87,100,0,54,63,64,70,74,81,81,84,100,0,50,59,60,75,77,84,85,87,100,0,58,68,69,74,79,84,84,86,100,0,52,59,60,73,76,83,84,86,100,0,58,66,67,73,77,83,83,85,100,0
SeventyToSeventyfour,37,53,54,71,76,83,83,85,100,0,37,57,58,68,73,81,81,82,100,0,37,53,55,73,77,84,85,86,100,0,40,58,59,70,75,81,81,82,100,0,40,55,56,72,77,83,83,85,100,0,41,55,56,66,72,80,80,81,100,0,41,55,56,66,72,80,80,81,100,0,41,54,55,70,75,83,84,86,100,0,42,56,57,67,72,80,80,81,100,0,42,56,57,71,75,83,84,85,100,0,42,57,57,66,72,79,79,81,100,0,46,59,59,68,73,80,80,81,100,0,45,57,58,73,78,85,85,86,100,0,46,59,60,67,73,79,80,81,100,0,46,57,58,71,76,83,83,85,100,0,46,59,60,69,74,80,80,82,100,0,47,58,59,73,78,84,85,86,100,0,49,60,60,68,74,80,80,82,100,0,49,58,59,73,78,84,85,86,100,0,51,61,61,68,74,81,81,82,100,0
SeventyfiveToSeventynine,33,51,52,68,74,81,81,83,100,0,32,49,51,63,70,77,77,79,100,0,33,50,52,67,73,80,80,82,100,0,33,50,52,61,68,76,76,78,100,0,34,51,52,68,73,80,80,82,100,0,32,49,51,61,68,74,75,76,100,0,32,49,51,61,68,74,75,76,100,0,36,51,53,68,74,80,80,82,100,0,34,51,52,62,69,77,77,78,100,0,36,51,52,66,72,80,81,82,100,0,35,50,51,61,69,77,77,79,100,0,36,50,51,60,67,75,75,77,100,0,37,51,52,67,73,80,80,82,100,0,37,51,52,60,68,76,76,78,100,0,39,51,52,66,72,80,80,82,100,0,37,51,52,60,67,74,74,76,100,0,38,51,51,66,72,80,80,82,100,0,38,51,52,60,68,75,76,77,100,0,41,51,52,66,73,81,81,83,100,0,41,52,53,61,68,77,77,78,100,0
EightyToEightyfour,28,45,47,62,69,75,75,77,100,0,24,41,43,54,61,69,0,71,100,0,29,46,48,62,68,75,75,77,100,0,23,40,41,51,59,68,68,70,100,0,30,46,48,62,68,76,76,78,100,0,25,42,43,53,60,69,69,71,100,0,25,42,43,53,60,69,69,71,100,0,29,44,46,61,67,75,75,78,100,0,26,41,42,52,60,69,69,71,100,0,30,45,46,61,68,76,77,79,100,0,25,40,42,51,59,68,69,70,100,0,24,40,41,51,59,68,68,70,100,0,29,45,46,60,67,75,75,77,100,0,27,41,42,52,61,69,0,71,100,0,31,45,46,59,66,75,75,77,100,0,26,40,42,51,59,68,68,70,100,0,31,45,46,59,66,74,75,77,100,0,27,41,42,50,59,68,68,70,100,0,32,46,47,60,67,75,75,77,100,0,28,39,41,49,59,68,69,71,100,0
EightyfiveToEightynine,22,41,43,57,64,70,71,73,100,0,17,34,35,46,54,62,0,64,100,0,23,41,43,55,63,69,69,72,100,0,16,33,34,44,52,61,61,64,100,0,21,39,41,54,60,69,69,71,100,0,16,32,33,45,53,63,63,65,100,0,16,32,33,45,53,63,63,65,100,0,23,41,42,56,62,71,71,74,100,0,18,33,34,44,53,63,63,65,100,0,22,40,42,56,63,71,71,74,100,0,17,33,34,44,52,62,63,64,100,0,18,32,33,42,51,62,62,64,100,0,24,41,42,56,64,72,72,74,100,0,17,30,31,42,51,61,61,63,100,0,25,41,42,55,64,72,72,74,100,0,18,32,33,43,52,62,0,64,100,0,25,42,43,55,63,72,72,74,100,0,18,33,34,44,53,63,63,65,100,0,24,41,41,56,63,72,72,74,100,0,18,32,33,43,53,63,63,65,100,0
Ninety,17,39,40,51,57,64,64,66,100,0,9,27,27,37,45,54,54,56,100,0,15,37,38,49,57,64,64,66,100,0,9,26,27,36,44,54,0,56,100,0,16,38,40,52,59,67,67,69,100,0,10,26,27,36,45,56,56,59,100,0,10,26,27,36,45,56,56,59,100,0,16,37,39,51,59,67,67,70,100,0,9,26,27,36,44,55,55,57,100,0,15,36,37,50,57,66,67,69,100,0,9,25,26,35,44,55,55,57,100,0,9,25,26,34,43,54,54,57,100,0,17,36,37,50,57,65,65,68,100,0,9,26,27,35,44,55,55,57,100,0,17,36,37,48,55,66,66,68,100,0,10,26,28,36,45,56,56,58,100,0,17,36,37,49,57,66,67,69,100,0,9,25,26,35,44,54,54,57,100,0,17,36,37,50,57,67,67,69,100,0,11,26,27,36,45,55,55,58,100,0
